id,canonical_title,concentration,type,description,main_accords,top_notes,middle_notes,base_notes,pros,cons
LW63081,LOEWE 001 Man Eau de Parfum,edp,,LOEWE 001 is a family of fragrances inspired by new beginnings and early morning light. Fragrances to share.,,,,,,
LW63050,LOEWE 001 Man Eau de Toilette,edt,,LOEWE 001 is a family of fragrances inspired by new beginnings and early morning light. Fragrances to share.,,,,,,
LW74766,LOEWE 001 Man EDP,edp,,"New, colourful 15ml edition of LOEWE 001 Man EDP —a compact size ideal for application on the move.",,,,,,
LW74254,LOEWE 001 Man EDT vial,edt,,"New, colourful 15ml edition of LOEWE 001 Man EDT—a compact size ideal for application on the move.",,,,,,
LW63067,LOEWE 001 Woman Eau de Parfum,edp,,LOEWE 001 is a family of fragrances inspired by new beginnings and early morning light. Fragrances to share.,,,,,,
LW63043,LOEWE 001 Woman Eau de Toilette,edt,,LOEWE 001 is a family of fragrances inspired by new beginnings and early morning light. Fragrances to share.,,,,,,
LW74773,LOEWE 001 Woman EDP vial,edp,,"New, colourful 15ml edition of LOEWE 001 Woman EDP—a compact size ideal for application on the move.",,,,,,
LW74261,LOEWE 001 Woman EDT vial,edt,,"New, colourful 15ml edition of LOEWE 001 Woman EDT—a compact size ideal for application on the move.",,,,,,
LW82464,LOEWE 001 Woman x Lladró,unknown,female,"This limited-edition flask of LOEWE 001 Woman EDP has been created in collaboration between LOEWE Perfumes and Spanish porcelain brand, LLADRÓ. ​ The signature LOEWE block-shaped flask is crafted in translucent glass, topped by a handcrafted, porcelain white flower cap, hand-painted with a pale green calyx.​",musky; floral; citrus; powdery; vanilla; aromatic; sweet; amber; white floral; nutty,Flax; Musk; Tonka Bean; Bergamot; Jasmine,,,,
LW66679,LOEWE 7 Anónimo,unknown,male,"LOEWE 7 Anónimo, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",amber; smoky; woody; warm spicy; balsamic; leather; soft spicy,Incense; Pink Pepper,Leather; Benzoin; Vetiver,Labdanum; Sandalwood,"Bold, nocturnal, and sophisticated masculine scent | Noticeable presence without being overly loud | Masterful blend of spices, woods, and incense | True work of art | Warm, inviting, and resinous dry down | Niche-tier complexity at a designer price | Sophisticated blend of smoky incense and leather",May need to try before buying | Polarizing opening can be harsh for some | Impression of incense may come off as dry and dusty for some | Intense clove-like note may be divisive | Newer reformulations may lack original performance | Incense note can occasionally smell musty
LW66358,LOEWE 7 Cobalt,unknown,male,"LOEWE 7 is a family of fragrances inspired by the furthest reaches of outer space, a sense of eternal mystery.",aromatic; soft spicy; amber; fruity; woody; warm spicy; herbal; smoky; balsamic; earthy,,,,"Versatile and professional business fragrance | Smooth and long-lasting scent | Exceptional fresh, clean, and soapy profile | Perfect balance of classic and modern vibes | Aromatic and earthy with a smoky finish | Natural note of sage with tarty black currant | Expertly blends traditional and contemporary perfumery | Highly complimented and mass-appealing scent | Sophisticated alternative to Bleu de Chanel",Not similar to Anonimo as advertised | Lacks the characteristic incense DNA of Loewe 7 | Modern bottle design feels generic to some
LW66846,LOEWE 7 EDT,edt,,"LOEWE 7 EDT, the original fragrance, now in a colourful new bottle, forming part of LOEWE's Botanical Rainbow.",,,,,,
LW80828,LOEWE 7 Elixir,elixir,male,"Mysterious and original, LOEWE 7 Elixir reinterprets and amplifies the original LOEWE 7 EDP with a higher, more resonant concentration of essential oils. The scent reveals intense notes of patchouli, red pepper berries and amber, underlined by the rich, raw and authentic aspects of the LOEWE Accord—a new note based on the complex, resinous scent of the Spanish Rockrose wildflower—LOEWE’s fragrant DNA.",warm spicy; patchouli; amber; woody; earthy; fresh; balsamic,,,,"Strong projection and performance | Versatile for formal and casual occasions | Great signature scent for office environments | Mature, masculine, and professional character | Ideal for autumn and winter evenings | Deep, balsamic, and rich patchouli base | More complex than previous Loewe 7 flankers | Refined blend of original 7 and Anonimo | Sophisticated woody incense and spice profile","Medicinal qualities reminiscent of herbal balms | Polarizing scent profile lacks universal appeal | High price point for a designer fragrance | Omission of original's signature apple note | Too heavy for warm summer weather | Redundant for owners of Loewe 7 Anonimo | Harsh, metallic, or screechy drydown | Challenging, animalic, or ammonia-like opening | Perceived as redundant to niche alternatives | Lacks original character of the classic line"
